#  nr   x [pix]  y [pix]       sum  max pixel  elongation
    1   531.12   290.11      85361       2224    0.813000
    2   519.04   361.99      29780        777    0.852360
    3   367.83  1075.72      24791        737    0.826639
    4   424.74   217.46      19089        600    0.835862
    5  1238.45    31.93      18327        590    0.847312
    6   333.34   680.49      16887        584    0.867982
    7   507.99   746.48      12404        430    0.850465
    8   806.75  1026.52       9210        320    0.857083
    9   971.59   116.89       8917        196    0.822267
   10   226.97   809.33       7588        207    0.757383
   11   662.16   232.55       6574        196    0.773047
   12   125.22   582.30       6472        179    0.818412
   13   779.98   253.39       6389        157    0.818215
   14   579.54   417.79       5828        162    0.789770
   15  1178.88   654.01       5332        129    0.829555
   16   311.47   237.32       5238        295    0.920738
   17   680.23   606.06       5147        473    0.118276
   18   433.70   595.10       4475        156    0.845893
   19   964.72   400.43       4472        108    0.829652
   20   700.25   686.62       4429        231    0.897066
   21   165.70   853.04       4032        122    0.821865
   22   937.91    35.52       3981        115    0.776771
   23  1156.98   604.33       3882        107    0.801613
   24   265.88   936.59       3593        112    0.776549
   25   158.83   891.26       3516        132    0.753504
   26   607.81   482.19       3311         96    0.798528
   27   453.75  1078.59       3270         92    0.865354
   28  1002.16   903.82       3195         94    0.758320
   29     1.89   509.12       3180        559    0.296712
   30  1171.78   998.16       3035        108    0.825627
   31   302.64   801.83       2960         75    0.762497
   32    20.44   547.40       2820        118    0.830344
   33   141.80    56.99       2670        100    0.759576
   34    29.59   687.71       2520         86    0.871656
   35   296.52  1053.80       2413         83    0.713385
   36  1061.28    25.23       2268         79    0.825078
   37   312.84   181.55       2055         94    0.881548
   38   919.96   933.36       1925         72    0.832728
   39   749.90   852.28       1892         76    0.807414
   40  1129.00    87.57       1888         84    0.888131
   41   209.73   367.65       1887         88    0.823489
   42   606.64   904.90       1851         76    0.819363
   43     2.03   140.82       1777        252    0.239731
   44  1106.21   113.58       1742         59    0.845360
   45  1146.62    92.27       1656         63    0.853322
   46  1006.49   952.80       1515         77    0.872706
   47   541.52   336.88       1470         85    0.872595
   48   782.14   423.62       1417         70    0.753746
   49   650.16   153.83       1406         63    0.919144
   50  1049.83   101.08       1398         52    0.938493
   51   881.99   222.99       1393         66    0.874539
   52   393.08   557.62       1373         52    0.794344
   53   406.21   741.07       1369         66    0.624601
   54    13.93   276.24       1263         55    0.813826
   55   920.64   860.94       1261         70    0.793847
   56   645.30   174.86       1183         71    0.852773
   57   706.09   793.67       1166         74    0.853917
   58   893.71   621.77       1132         52    0.865765
   59   271.54   427.67       1125         54    0.906036
   60  1109.30   973.54       1077         60    0.716799
   61  1026.59   580.10       1076         56    0.954592
   62   415.53   768.29       1043         54    0.532463
   63   682.28   845.94        990         59    0.747707
   64   445.16   380.11        968         53    0.939494
   65   608.49   426.01        968         51    0.852829
   66   305.37   506.55        959         64    0.786975
   67   579.12   163.10        876         66    0.718249
   68   796.35   192.20        823         51    0.889089
   69  1052.79    83.03        606         54    0.586922
   70   377.13   217.95        485         56    0.366685
   71   168.35   515.52        464         41    0.412384
